work,direct_equipment,inferred_equipment,inference_reason,count,sources,unit,quantity,cost_or_price
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",54,Пример накопительной.xlsx:Лист_1:10133; Пример накопительной.xlsx:Лист_1:11609; Пример накопительной.xlsx:Лист_1:13033; Пример накопительной.xlsx:Лист_1:23603; Пример накопительной.xlsx:Лист_1:30457; Пример накопительной.xlsx:Лист_1:30909; Пример накопительной.xlsx:Лист_1:31237; Пример накопительной.xlsx:Лист_1:32193,1000 м3 грунта,0.1716,392.88
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4",трамбовка,"каток, трамбовка",уплотнение грунта или основания,51,Пример накопительной.xlsx:Лист_1:8741; Пример накопительной.xlsx:Лист_1:24789; Пример накопительной.xlsx:Лист_1:29455; Пример накопительной.xlsx:Лист_1:29469; Пример накопительной.xlsx:Лист_1:30461; Пример накопительной.xlsx:Лист_1:31241; Пример накопительной.xlsx:Лист_1:32197; Пример накопительной.xlsx:Лист_1:32211,100 м3 уплотненного грунта,0.1067,577.24
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",50,Пример накопительной.xlsx:Лист_1:13037; Пример накопительной.xlsx:Лист_1:37871; Пример накопительной.xlsx:Лист_1:43005; Пример накопительной.xlsx:Лист_1:43061; Пример накопительной.xlsx:Лист_1:44671; Пример накопительной.xlsx:Лист_1:48731; Пример накопительной.xlsx:Лист_1:52495; Пример накопительной.xlsx:Лист_1:52507,100 м3 грунта,0.6779,862.88
При перемещении грунта на каждые последующие 10 м добавлять к расценке 01-01-031-03,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",43,Пример накопительной.xlsx:Лист_1:4209; Пример накопительной.xlsx:Лист_1:4231; Пример накопительной.xlsx:Лист_1:4253; Пример накопительной.xlsx:Лист_1:4275; Пример накопительной.xlsx:Лист_1:19163; Пример накопительной.xlsx:Лист_1:25801; Пример накопительной.xlsx:Лист_1:41047; Пример накопительной.xlsx:Лист_1:46797,1000 м3 грунта,6.882,1071.65
"Прокладка волоконно-оптических кабелей в траншее. Прокладка опознавательной ленты, применен коэффициент к нормам затрат труда и оплате труда - 0,3, к",,"самосвал, экскаватор",земляные выемки и работа с грунтом,41,Пример накопительной.xlsx:Лист_1:1243; Пример накопительной.xlsx:Лист_1:2307; Пример накопительной.xlsx:Лист_1:2509; Пример накопительной.xlsx:Лист_1:2731; Пример накопительной.xlsx:Лист_1:3377; Пример накопительной.xlsx:Лист_1:28703; Пример накопительной.xlsx:Лист_1:31349; Пример накопительной.xlsx:Лист_1:31749,1 км кабеля,19.75,2716.29
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние свыше 30 км за каждый 1 км добавлять (I класс гр",самосвал,,,38,Пример накопительной.xlsx:Лист_1:1155; Пример накопительной.xlsx:Лист_1:3757; Пример накопительной.xlsx:Лист_1:4121; Пример накопительной.xlsx:Лист_1:17103; Пример накопительной.xlsx:Лист_1:20533; Пример накопительной.xlsx:Лист_1:29523; Пример накопительной.xlsx:Лист_1:29545; Пример накопительной.xlsx:Лист_1:29557,1 т груза,673.68,0.37
"Устройство покрытий толщиной 15 см при укатке щебня с пределом прочности на сжатие до 68,6 МПа (700 кгс/см2) однослойных",,"каток, трамбовка",уплотнение грунта или основания,35,Пример накопительной.xlsx:Лист_1:8077; Пример накопительной.xlsx:Лист_1:8121; Пример накопительной.xlsx:Лист_1:34069; Пример накопительной.xlsx:Лист_1:34071; Пример накопительной.xlsx:Лист_1:34083; Пример накопительной.xlsx:Лист_1:34153; Пример накопительной.xlsx:Лист_1:53859; Пример накопительной.xlsx:Лист_1:53973,1000 м2 покрытия,0.1845,30485.48
Дополнительные транспортные затраты (сверх учтенных сметной ценой) на перевозку песка для приготовления бетона на расстояние 235км,,самосвал,транспортировка грунта или сыпучих материалов,34,Пример накопительной.xlsx:Лист_1:51695; Пример накопительной.xlsx:Лист_1:51781; Пример накопительной.xlsx:Лист_1:52101; Пример накопительной.xlsx:Лист_1:53365; Пример накопительной.xlsx:Лист_1:53471; Пример накопительной.xlsx:Лист_1:53539; Пример накопительной.xlsx:Лист_1:53763; Пример накопительной.xlsx:Лист_1:53827,т,40.545,31.71
Дополнительные транспортные затраты (сверх учтенных сметной ценой) на перевозку щебня для приготовления бетона на расстояние 299км,,самосвал,транспортировка грунта или сыпучих материалов,34,Пример накопительной.xlsx:Лист_1:51693; Пример накопительной.xlsx:Лист_1:51779; Пример накопительной.xlsx:Лист_1:52099; Пример накопительной.xlsx:Лист_1:53363; Пример накопительной.xlsx:Лист_1:53469; Пример накопительной.xlsx:Лист_1:53537; Пример накопительной.xlsx:Лист_1:53761; Пример накопительной.xlsx:Лист_1:53825,т,65.28,39
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние свыше 30 км за каждый 1 км добавлять (на расстоя",самосвал,,,34,Пример накопительной.xlsx:Лист_1:503; Пример накопительной.xlsx:Лист_1:7907; Пример накопительной.xlsx:Лист_1:54545; Пример накопительной.xlsx:Лист_1:54575; Пример накопительной.xlsx:Лист_1:54711; Пример накопительной.xlsx:Лист_1:54741; Пример накопительной.xlsx:Лист_1:56853; Пример накопительной.xlsx:Лист_1:57091,1 т груза,1.08,17.02
"Разработка грунта вручную в траншеях на действующей железной дороге при прокладке кабеля под путями и в междупутье, группа грунтов 3",,"автовышка, кабелеукладчик, самосвал, экскаватор","земляные выемки и работа с грунтом; монтаж кабельных линий, СЦБ или связи",32,Пример накопительной.xlsx:Лист_1:1459; Пример накопительной.xlsx:Лист_1:3453; Пример накопительной.xlsx:Лист_1:19933; Пример накопительной.xlsx:Лист_1:20055; Пример накопительной.xlsx:Лист_1:20315; Пример накопительной.xlsx:Лист_1:21319; Пример накопительной.xlsx:Лист_1:21363; Пример накопительной.xlsx:Лист_1:23615,100 м3 грунта,23.7105,7991.36
"Разработка грунта вручную в траншеях шириной более 2 м и котлованах площадью сечения до 5 м2 с креплениями, глубина траншей и котлованов до 3 м, групп",,"самосвал, экскаватор",земляные выемки и работа с грунтом,32,Пример накопительной.xlsx:Лист_1:18201; Пример накопительной.xlsx:Лист_1:18435; Пример накопительной.xlsx:Лист_1:18445; Пример накопительной.xlsx:Лист_1:18455; Пример накопительной.xlsx:Лист_1:18465; Пример накопительной.xlsx:Лист_1:18475; Пример накопительной.xlsx:Лист_1:18485; Пример накопительной.xlsx:Лист_1:18517,100 м3 грунта,1.0526,3223.44
Устройство подушек под фундаменты опор мостов щебеночных,,"буровая машина, кран","буровые, свайные или фундаментные работы",30,Пример накопительной.xlsx:Лист_1:7697; Пример накопительной.xlsx:Лист_1:51901; Пример накопительной.xlsx:Лист_1:53731; Пример накопительной.xlsx:Лист_1:55017; Пример накопительной.xlsx:Лист_1:55219; Пример накопительной.xlsx:Лист_1:55535; Пример накопительной.xlsx:Лист_1:55871; Пример накопительной.xlsx:Лист_1:56495,100 м3 подушки,0.175,20299.16
Устройство трубопроводов из полиэтиленовых труб до 2 отверстий,,"кран, самосвал, экскаватор",устройство водопропускных труб,30,Пример накопительной.xlsx:Лист_1:1507; Пример накопительной.xlsx:Лист_1:2263; Пример накопительной.xlsx:Лист_1:2459; Пример накопительной.xlsx:Лист_1:2677; Пример накопительной.xlsx:Лист_1:2905; Пример накопительной.xlsx:Лист_1:3489; Пример накопительной.xlsx:Лист_1:21365; Пример накопительной.xlsx:Лист_1:43463,1 канало-километр трубопровода,0.95,34975.73
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 5 км (I класс груза) Вывоз лишнего грунта в о",самосвал,,,29,Пример накопительной.xlsx:Лист_1:51733; Пример накопительной.xlsx:Лист_1:51751; Пример накопительной.xlsx:Лист_1:51953; Пример накопительной.xlsx:Лист_1:51967; Пример накопительной.xlsx:Лист_1:53055; Пример накопительной.xlsx:Лист_1:53167; Пример накопительной.xlsx:Лист_1:55269; Пример накопительной.xlsx:Лист_1:55517,т,30.94,8.03
"Разработка траншей экскаватором ""обратная лопата"" с ковшом вместимостью 0,25 м3, группа грунтов 3",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,28,Пример накопительной.xlsx:Лист_1:23601; Пример накопительной.xlsx:Лист_1:30453; Пример накопительной.xlsx:Лист_1:30905; Пример накопительной.xlsx:Лист_1:31233; Пример накопительной.xlsx:Лист_1:33711; Пример накопительной.xlsx:Лист_1:33935; Пример накопительной.xlsx:Лист_1:37283; Пример накопительной.xlsx:Лист_1:74343,1000 м3 грунта,3.125,5926.84
"Провод в коробах, сечением до 35 мм2 (Прокладка кабеля в кабельном канале)",,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",27,Пример накопительной.xlsx:Лист_1:41243; Пример накопительной.xlsx:Лист_1:43591; Пример накопительной.xlsx:Лист_1:44111; Пример накопительной.xlsx:Лист_1:44219; Пример накопительной.xlsx:Лист_1:44347; Пример накопительной.xlsx:Лист_1:45593; Пример накопительной.xlsx:Лист_1:45831; Пример накопительной.xlsx:Лист_1:48923,100 м,0.1,62.74
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",25,Пример накопительной.xlsx:Лист_1:235; Пример накопительной.xlsx:Лист_1:2255; Пример накопительной.xlsx:Лист_1:2451; Пример накопительной.xlsx:Лист_1:3477; Пример накопительной.xlsx:Лист_1:29461; Пример накопительной.xlsx:Лист_1:29475; Пример накопительной.xlsx:Лист_1:31387; Пример накопительной.xlsx:Лист_1:31791,100 м3 грунта,0.02,1179.75
"Прокладка кабеля в подземной канализации, масса 1 м кабеля до 1 кг",,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",25,Пример накопительной.xlsx:Лист_1:36579; Пример накопительной.xlsx:Лист_1:36609; Пример накопительной.xlsx:Лист_1:36735; Пример накопительной.xlsx:Лист_1:36825; Пример накопительной.xlsx:Лист_1:36849; Пример накопительной.xlsx:Лист_1:43399; Пример накопительной.xlsx:Лист_1:43585; Пример накопительной.xlsx:Лист_1:46361,1 км,0.43,5669.33
"Устройство трубопроводов из полиэтиленовых труб с количеством каналов: до 2. Отсутствие движения поездов в условиях новостроящихся линий, применен коэ",,"кран, самосвал, экскаватор",устройство водопропускных труб,25,Пример накопительной.xlsx:Лист_1:23369; Пример накопительной.xlsx:Лист_1:23619; Пример накопительной.xlsx:Лист_1:24007; Пример накопительной.xlsx:Лист_1:24815; Пример накопительной.xlsx:Лист_1:37557; Пример накопительной.xlsx:Лист_1:43609; Пример накопительной.xlsx:Лист_1:69025; Пример накопительной.xlsx:Лист_1:69079,1 км трубопровода,0.012,4470.22
"Укладка пути отдельными элементами на деревянных шпалах при нераздельном костыльном скреплении и длине рельсов 25 м тип рельсов Р65, число шпал на 1 к",,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,23,Пример накопительной.xlsx:Лист_1:1013; Пример накопительной.xlsx:Лист_1:1019; Пример накопительной.xlsx:Лист_1:1021; Пример накопительной.xlsx:Лист_1:51653; Пример накопительной.xlsx:Лист_1:53143; Пример накопительной.xlsx:Лист_1:54161; Пример накопительной.xlsx:Лист_1:54163; Пример накопительной.xlsx:Лист_1:54181,1 км пути,0.025,1522735.64
"Перевозка грузов автомобилями-самосвалами грузоподъемностью 10 т, работающих вне карьера на расстояние: свыше 30 км за каждый 1 км добавлять I класс г",самосвал,,,22,Пример накопительной.xlsx:Лист_1:38213; Пример накопительной.xlsx:Лист_1:38253; Пример накопительной.xlsx:Лист_1:38293; Пример накопительной.xlsx:Лист_1:38417; Пример накопительной.xlsx:Лист_1:41051; Пример накопительной.xlsx:Лист_1:66093; Пример накопительной.xlsx:Лист_1:66119; Пример накопительной.xlsx:Лист_1:66381,1 т груза,429.84,7.55
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 30 км (I класс груза)",самосвал,,,22,Пример накопительной.xlsx:Лист_1:1153; Пример накопительной.xlsx:Лист_1:3755; Пример накопительной.xlsx:Лист_1:4119; Пример накопительной.xlsx:Лист_1:17101; Пример накопительной.xlsx:Лист_1:29521; Пример накопительной.xlsx:Лист_1:29543; Пример накопительной.xlsx:Лист_1:29555; Пример накопительной.xlsx:Лист_1:30185,1 т груза,14.6452,19.29
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 обсыпка трубы",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",21,Пример накопительной.xlsx:Лист_1:55447; Пример накопительной.xlsx:Лист_1:55781; Пример накопительной.xlsx:Лист_1:56225; Пример накопительной.xlsx:Лист_1:56981; Пример накопительной.xlsx:Лист_1:58079; Пример накопительной.xlsx:Лист_1:58683; Пример накопительной.xlsx:Лист_1:59433; Пример накопительной.xlsx:Лист_1:59905,100 м3 грунта,0.045,1179.75
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 Обсыпка трубы",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",21,Пример накопительной.xlsx:Лист_1:55445; Пример накопительной.xlsx:Лист_1:55779; Пример накопительной.xlsx:Лист_1:56223; Пример накопительной.xlsx:Лист_1:56979; Пример накопительной.xlsx:Лист_1:58077; Пример накопительной.xlsx:Лист_1:58681; Пример накопительной.xlsx:Лист_1:59431; Пример накопительной.xlsx:Лист_1:59903,1000 м3 грунта,0.0405,826.41
"Перевозка массовых навалочных грузов автомобилями-самосвалами грузоподъемностью 10 т, работающих вне карьера на расстояние: до 30 км 19,29х1,2",самосвал,,,21,Пример накопительной.xlsx:Лист_1:54543; Пример накопительной.xlsx:Лист_1:54573; Пример накопительной.xlsx:Лист_1:54709; Пример накопительной.xlsx:Лист_1:54739; Пример накопительной.xlsx:Лист_1:60219; Пример накопительной.xlsx:Лист_1:60249; Пример накопительной.xlsx:Лист_1:60383; Пример накопительной.xlsx:Лист_1:60413,1 т груза,7.744,23.15
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 30 км (I класс груза) цена-19,29.1,2",самосвал,,,21,Пример накопительной.xlsx:Лист_1:38211; Пример накопительной.xlsx:Лист_1:38251; Пример накопительной.xlsx:Лист_1:38291; Пример накопительной.xlsx:Лист_1:38415; Пример накопительной.xlsx:Лист_1:66091; Пример накопительной.xlsx:Лист_1:66117; Пример накопительной.xlsx:Лист_1:66379; Пример накопительной.xlsx:Лист_1:66705,1 т груза,429.84,23.15
"Разработка грунта в отвал экскаваторами ""драглайн"" или ""обратная лопата"" с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 2 Обсыпка трубы",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,21,Пример накопительной.xlsx:Лист_1:55443; Пример накопительной.xlsx:Лист_1:55777; Пример накопительной.xlsx:Лист_1:56221; Пример накопительной.xlsx:Лист_1:56977; Пример накопительной.xlsx:Лист_1:58075; Пример накопительной.xlsx:Лист_1:58679; Пример накопительной.xlsx:Лист_1:59429; Пример накопительной.xlsx:Лист_1:59901,1000 м3 грунта,0.045,2174.01
"Устройство подушек под фундаменты опор мостов песчаных, из гравия, дресвы или их смеси с песком. Устройство подготовки под лоток",,"буровая машина, кран","буровые, свайные или фундаментные работы",21,Пример накопительной.xlsx:Лист_1:55645; Пример накопительной.xlsx:Лист_1:56063; Пример накопительной.xlsx:Лист_1:56819; Пример накопительной.xlsx:Лист_1:57641; Пример накопительной.xlsx:Лист_1:57941; Пример накопительной.xlsx:Лист_1:58523; Пример накопительной.xlsx:Лист_1:59291; Пример накопительной.xlsx:Лист_1:59733,100 м3 подушки,0.1284,9853.25
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 1",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",20,Пример накопительной.xlsx:Лист_1:38683; Пример накопительной.xlsx:Лист_1:42341; Пример накопительной.xlsx:Лист_1:47587; Пример накопительной.xlsx:Лист_1:52699; Пример накопительной.xlsx:Лист_1:71211; Пример накопительной.xlsx:Лист_1:71243; Пример накопительной.xlsx:Лист_1:71509; Пример накопительной.xlsx:Лист_1:71655,1000 м3 грунта,0.0102,328.97
При перемещении грунта на каждые последующие 5 м добавлять к расценке 01-01-034-02,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",20,Пример накопительной.xlsx:Лист_1:51723; Пример накопительной.xlsx:Лист_1:51957; Пример накопительной.xlsx:Лист_1:55635; Пример накопительной.xlsx:Лист_1:56053; Пример накопительной.xlsx:Лист_1:57931; Пример накопительной.xlsx:Лист_1:58513; Пример накопительной.xlsx:Лист_1:59281; Пример накопительной.xlsx:Лист_1:59723,1000 м3 грунта,0.051,361.7
Бурение скважин диаметром 300 мм вращательным (роторным) способом в грунтах и породах группы 3 (для фундаментов из металлических труб д.219мм) /на глу,,"буровая машина, кран","буровые, свайные или фундаментные работы",19,Пример накопительной.xlsx:Лист_1:20691; Пример накопительной.xlsx:Лист_1:20957; Пример накопительной.xlsx:Лист_1:20967; Пример накопительной.xlsx:Лист_1:22149; Пример накопительной.xlsx:Лист_1:22159; Пример накопительной.xlsx:Лист_1:22419; Пример накопительной.xlsx:Лист_1:22429; Пример накопительной.xlsx:Лист_1:22673,1 м скважины,5.5,172.63
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",19,Пример накопительной.xlsx:Лист_1:41117; Пример накопительной.xlsx:Лист_1:52577; Пример накопительной.xlsx:Лист_1:57633; Пример накопительной.xlsx:Лист_1:74879; Пример накопительной.xlsx:Лист_1:75985; Пример накопительной.xlsx:Лист_1:76501; Пример накопительной.xlsx:Лист_1:76555; Пример накопительной.xlsx:Лист_1:76835,1000 м3 грунта,0.0345,826.41
"Разработка грунта в отвал экскаваторами ""драглайн"" или ""обратная лопата"" с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 3",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,19,Пример накопительной.xlsx:Лист_1:24783; Пример накопительной.xlsx:Лист_1:29347; Пример накопительной.xlsx:Лист_1:29381; Пример накопительной.xlsx:Лист_1:29421; Пример накопительной.xlsx:Лист_1:29435; Пример накопительной.xlsx:Лист_1:32527; Пример накопительной.xlsx:Лист_1:36635; Пример накопительной.xlsx:Лист_1:37035,1000м3,0.01395,4194.46
"Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 2 м, группа грунтов 3 (под автодорогой). Вертикальные стенки без крепле",,"самосвал, экскаватор",земляные выемки и работа с грунтом,19,Пример накопительной.xlsx:Лист_1:20767; Пример накопительной.xlsx:Лист_1:21119; Пример накопительной.xlsx:Лист_1:22741; Пример накопительной.xlsx:Лист_1:22905; Пример накопительной.xlsx:Лист_1:28097; Пример накопительной.xlsx:Лист_1:30925; Пример накопительной.xlsx:Лист_1:31145; Пример накопительной.xlsx:Лист_1:31253,100 м3 грунта,0.033,3027.42
Устройство трубопроводов из хризотилцементных труб с соединением полиэтиленовыми муфтами до 2 отверстий,,"кран, самосвал, экскаватор",устройство водопропускных труб,19,Пример накопительной.xlsx:Лист_1:35405; Пример накопительной.xlsx:Лист_1:36001; Пример накопительной.xlsx:Лист_1:36043; Пример накопительной.xlsx:Лист_1:36235; Пример накопительной.xlsx:Лист_1:36287; Пример накопительной.xlsx:Лист_1:36467; Пример накопительной.xlsx:Лист_1:38101; Пример накопительной.xlsx:Лист_1:51233,1 канало-километр трубопровода,0.268,21823.66
При перемещении грунта на каждые последующие 10 м добавлять к расценке 01-01-031-02,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",18,Пример накопительной.xlsx:Лист_1:53051; Пример накопительной.xlsx:Лист_1:53135; Пример накопительной.xlsx:Лист_1:55095; Пример накопительной.xlsx:Лист_1:55179; Пример накопительной.xlsx:Лист_1:55615; Пример накопительной.xlsx:Лист_1:57925; Пример накопительной.xlsx:Лист_1:58227; Пример накопительной.xlsx:Лист_1:58317,1000 м3 грунта,0.15,1034.7
"Разработка грунта с перемещением до 10 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3",бульдозер,"самосвал, экскаватор",земляные выемки и работа с грунтом,18,Пример накопительной.xlsx:Лист_1:4193; Пример накопительной.xlsx:Лист_1:4201; Пример накопительной.xlsx:Лист_1:4223; Пример накопительной.xlsx:Лист_1:4245; Пример накопительной.xlsx:Лист_1:4267; Пример накопительной.xlsx:Лист_1:19155; Пример накопительной.xlsx:Лист_1:25793; Пример накопительной.xlsx:Лист_1:46791,1000 м3 грунта,0.16,1354.96
"Разработка грунта с перемещением до 10 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 (срезка грунта для устройства фундамента)",бульдозер,"самосвал, экскаватор",земляные выемки и работа с грунтом,18,Пример накопительной.xlsx:Лист_1:46819; Пример накопительной.xlsx:Лист_1:48725; Пример накопительной.xlsx:Лист_1:52573; Пример накопительной.xlsx:Лист_1:74733; Пример накопительной.xlsx:Лист_1:74875; Пример накопительной.xlsx:Лист_1:75981; Пример накопительной.xlsx:Лист_1:76497; Пример накопительной.xlsx:Лист_1:76551,1000 м3 грунта,0.03,1354.96
